Date,Open,High,Low,Close,Volume,Trades,Value
2000-01-04,11.69,NA,NA,11.93,NA,NA,NA
2000-01-05,11.93,NA,NA,12.17,NA,NA,NA
2000-01-10,12.17,NA,NA,11.59,NA,NA,NA
2000-01-11,11.59,NA,NA,11.67,NA,NA,NA
2000-01-12,11.67,NA,NA,11.89,NA,NA,NA
2000-01-13,11.89,NA,NA,12.00,NA,NA,NA
2000-01-14,12.00,NA,NA,12.11,NA,NA,NA
2000-01-17,12.11,NA,NA,12.69,NA,NA,NA
2000-01-18,12.69,NA,NA,13.15,NA,NA,NA
2000-01-19,13.15,NA,NA,13.56,NA,NA,NA
2000-01-20,13.56,NA,NA,13.65,NA,NA,NA
2000-01-21,13.65,NA,NA,13.16,NA,NA,NA
2000-01-24,13.16,NA,NA,13.06,NA,NA,NA
2000-01-25,13.06,NA,NA,13.50,NA,NA,NA
2000-01-26,13.50,NA,NA,13.50,NA,NA,NA
2000-01-27,13.50,NA,NA,13.21,NA,NA,NA
2000-01-28,13.21,NA,NA,13.35,NA,NA,NA
2000-01-31,13.35,NA,NA,14.00,NA,NA,NA
2000-02-01,14.00,NA,NA,13.55,NA,NA,NA
2000-02-02,13.55,NA,NA,13.58,NA,NA,NA
2000-02-03,13.58,NA,NA,14.15,NA,NA,NA
2000-02-04,14.15,NA,NA,14.85,NA,NA,NA
2000-02-07,14.85,NA,NA,14.90,NA,NA,NA
2000-02-08,14.90,NA,NA,15.64,NA,NA,NA
2000-02-09,15.64,NA,NA,16.42,NA,NA,NA
2000-02-10,16.42,NA,NA,17.24,NA,NA,NA
2000-02-11,17.24,NA,NA,17.75,NA,NA,NA
2000-02-14,17.75,NA,NA,16.87,NA,NA,NA
2000-02-15,16.87,NA,NA,16.03,NA,NA,NA
2000-02-16,16.03,NA,NA,15.23,NA,NA,NA
2000-02-17,15.23,NA,NA,14.47,NA,NA,NA
2000-02-18,14.47,NA,NA,14.47,NA,NA,NA
2000-02-21,14.47,NA,NA,14.70,NA,NA,NA
2000-02-22,14.70,NA,NA,14.30,NA,NA,NA
2000-02-23,14.30,NA,NA,14.47,NA,NA,NA
2000-02-24,14.47,NA,NA,14.62,NA,NA,NA
2000-02-25,14.62,NA,NA,14.75,NA,NA,NA
2000-02-28,14.75,NA,NA,14.86,NA,NA,NA
2000-02-29,14.86,NA,NA,14.70,NA,NA,NA
2000-03-01,14.70,NA,NA,15.00,NA,NA,NA
2000-03-02,15.00,NA,NA,15.00,NA,NA,NA
2000-03-03,15.00,NA,NA,14.76,NA,NA,NA
2000-03-06,14.76,NA,NA,14.96,NA,NA,NA
2000-03-07,14.96,NA,NA,14.75,NA,NA,NA
2000-03-08,14.75,NA,NA,14.70,NA,NA,NA
2000-03-09,14.70,NA,NA,14.55,NA,NA,NA
2000-03-10,14.55,NA,NA,14.70,NA,NA,NA
2000-03-13,14.70,NA,NA,14.60,NA,NA,NA
2000-03-14,14.60,NA,NA,14.50,NA,NA,NA
2000-03-17,14.50,NA,NA,14.25,NA,NA,NA
2000-03-20,14.25,NA,NA,14.40,NA,NA,NA
2000-03-21,14.40,NA,NA,14.15,NA,NA,NA
2000-03-22,14.15,NA,NA,14.15,NA,NA,NA
2000-03-23,14.15,NA,NA,14.06,NA,NA,NA
2000-03-24,14.06,NA,NA,13.90,NA,NA,NA
2000-03-27,13.90,NA,NA,14.20,NA,NA,NA
2000-03-28,14.20,NA,NA,14.25,NA,NA,NA
2000-03-29,14.25,NA,NA,14.25,NA,NA,NA
2000-03-30,14.25,NA,NA,14.27,NA,NA,NA
2000-03-31,14.27,NA,NA,14.21,NA,NA,NA
2000-04-03,14.21,NA,NA,13.99,NA,NA,NA
2000-04-04,13.99,NA,NA,14.10,NA,NA,NA
2000-04-05,14.10,NA,NA,14.30,NA,NA,NA
2000-04-06,14.30,NA,NA,14.35,NA,NA,NA
2000-04-07,14.35,NA,NA,14.28,NA,NA,NA
2000-04-10,14.28,NA,NA,14.50,NA,NA,NA
2000-04-11,14.50,NA,NA,14.50,NA,NA,NA
2000-04-12,14.50,NA,NA,14.39,NA,NA,NA
2000-04-13,14.39,NA,NA,14.48,NA,NA,NA
2000-04-14,14.48,NA,NA,14.50,NA,NA,NA
2000-04-17,14.50,NA,NA,14.50,NA,NA,NA
2000-04-18,14.50,NA,NA,14.50,NA,NA,NA
2000-04-19,14.50,NA,NA,14.55,NA,NA,NA
2000-04-20,14.55,NA,NA,14.50,NA,NA,NA
2000-04-25,14.50,NA,NA,14.49,NA,NA,NA
2000-04-26,14.49,NA,NA,14.48,NA,NA,NA
2000-04-27,14.48,NA,NA,14.90,NA,NA,NA
2000-04-28,14.90,NA,NA,15.34,NA,NA,NA
2000-05-02,15.34,NA,NA,16.10,NA,NA,NA
2000-05-03,16.10,NA,NA,16.35,NA,NA,NA
2000-05-04,16.35,NA,NA,15.66,NA,NA,NA
2000-05-05,15.66,NA,NA,15.00,NA,NA,NA
2000-05-08,15.00,NA,NA,15.40,NA,NA,NA
2000-05-09,15.40,NA,NA,15.89,NA,NA,NA
2000-05-10,15.89,NA,NA,15.90,NA,NA,NA
2000-05-11,15.90,NA,NA,15.51,NA,NA,NA
2000-05-12,15.51,NA,NA,15.70,NA,NA,NA
2000-05-15,15.70,NA,NA,15.75,NA,NA,NA
2000-05-16,15.75,NA,NA,16.00,NA,NA,NA
2000-05-17,16.00,NA,NA,16.00,NA,NA,NA
2000-05-18,16.00,NA,NA,15.93,NA,NA,NA
2000-05-19,15.93,NA,NA,15.99,NA,NA,NA
2000-05-22,15.99,NA,NA,15.75,NA,NA,NA
2000-05-23,15.75,NA,NA,15.99,NA,NA,NA
2000-05-24,15.99,NA,NA,16.00,NA,NA,NA
2000-05-25,16.00,NA,NA,15.99,NA,NA,NA
2000-05-26,15.99,NA,NA,16.10,NA,NA,NA
2000-05-30,16.10,NA,NA,16.07,NA,NA,NA
2000-05-31,16.07,NA,NA,16.02,NA,NA,NA
